route_id,service_id,trip_short_name,trip_headsign,route_short_name,direction_id,block_id,shape_id,wheelchair_accessible,trip_bikes_allowed,trip_id
ROUTE_880801,880772,,,,,,880814,0,0,880815
ROUTE_880801,880772,,,,,,880814,0,0,882129
ROUTE_880801,880772,,,,,,880814,0,0,882130
ROUTE_880801,880772,,,,,,880814,0,0,882131
ROUTE_880801,880772,,,,,,880814,0,0,882132
ROUTE_880801,881397,,,,,,880814,0,0,882133
ROUTE_880801,881444,,,,,,880814,0,0,882134
ROUTE_880801,880772,,,,,,882116,0,0,882135
ROUTE_880801,880772,,,,,,882116,0,0,882136
ROUTE_880801,880772,,,,,,882116,0,0,882137
ROUTE_880801,880772,,,,,,882116,0,0,882138
ROUTE_880801,880772,,,,,,882116,0,0,882139
ROUTE_880801,881397,,,,,,882116,0,0,882140
ROUTE_880801,881444,,,,,,882116,0,0,882141
ROUTE_880747,880772,,,,,,882144,0,0,882210
ROUTE_880747,880772,,,,,,882144,0,0,882211
ROUTE_880747,880772,,,,,,882144,0,0,882212
ROUTE_880747,880772,,,,,,882144,0,0,882213
ROUTE_880747,880772,,,,,,882144,0,0,882214
ROUTE_880747,881397,,,,,,882144,0,0,882215
ROUTE_880747,881445,,,,,,882144,0,0,882216
ROUTE_880747,880772,,,,,,882188,0,0,882217
ROUTE_880747,880772,,,,,,882188,0,0,882218
ROUTE_880747,880772,,,,,,882188,0,0,882219
ROUTE_880747,880772,,,,,,882188,0,0,882220
ROUTE_880747,880772,,,,,,882188,0,0,882221
ROUTE_880747,881397,,,,,,882188,0,0,882222
ROUTE_880747,881397,,,,,,882188,0,0,882223
LTFRB_PUB1138,724594,,,,,,,0,0,724597
LTFRB_PUJ2492,724594,,,,,,,0,0,724598
LTFRB_PUJ2365,724594,,,,,,,0,0,724599
LTFRB_PUJ2429,724594,,,,,,,0,0,724600
LTFRB_PUJ1698,724594,,,,,,,0,0,724601
LTFRB_PUJ2293,724594,,,,,,,0,0,724602
LTFRB_PUJ2241,724594,,,,,,,0,0,724603
LTFRB_PUJ2085,724594,,,,,,,0,0,724604
LTFRB_PUJ1575,724594,,,,,,,0,0,724605
LTFRB_PUJ1162,724594,,,,,,,0,0,724606
LTFRB_PUJ2519,724594,,,,,,,0,0,724607
LTFRB_PUB1192,724594,,,,,,,0,0,724608
LTFRB_PUB1001,724594,,,,,,,0,0,724609
LTFRB_PUB1067,724594,,,,,,,0,0,724610
LTFRB_PUJ1271,724594,,,,,,,0,0,724611
LTFRB_PUB1197,724594,,,,,,,0,0,724612
LTFRB_PUJ2159,724594,,,,,,,0,0,724613
LTFRB_PUB1096,724594,,,,,,,0,0,724614
LTFRB_PUJ1815,724594,,,,,,,0,0,724615
LTFRB_PUJ1253,724594,,,,,,,0,0,724616
LTFRB_PUJ2372,724594,,,,,,,0,0,724617
LTFRB_PUJ2133,724594,,,,,,,0,0,724618
LTFRB_PUJ2202,724594,,,,,,,0,0,724619
LTFRB_PUJ2351,724594,,,,,,,0,0,724620
LTFRB_PUJ1745,724594,,,,,,,0,0,724621
LTFRB_PUJ1922,724594,,,,,,,0,0,724622
LTFRB_PUJ1116,724594,,,,,,,0,0,724623
LTFRB_PUJ1434,724594,,,,,,,0,0,724624
LTFRB_PUJ1190,724594,,,,,,,0,0,724625
LTFRB_PUJ1756,724594,,,,,,,0,0,724626
LTFRB_PUJ1214,724594,,,,,,,0,0,724627
LTFRB_PUB1073,724594,,,,,,,0,0,724628
LTFRB_PUJ1415,724594,,,,,,,0,0,724629
LTFRB_PUJ1142,724594,,,,,,,0,0,724630
LTFRB_PUJ1007,724594,,,,,,,0,0,724631
LTFRB_PUJ1108,724594,,,,,,,0,0,724632
LTFRB_PUJ2018,724594,,,,,,,0,0,724633
LTFRB_PUJ1373,724594,,,,,,,0,0,724634
LTFRB_PUJ1536,724594,,,,,,,0,0,724635
LTFRB_PUJ1314,724594,,,,,,,0,0,724636
LTFRB_PUJ2278,724594,,,,,,,0,0,724637
LTFRB_PUJ2306,724594,,,,,,,0,0,724638
LTFRB_PUJ2027,724594,,,,,,,0,0,724639
LTFRB_PUJ1370,724594,,,,,,,0,0,724640
LTFRB_PUJ1293,724594,,,,,,,0,0,724641
LTFRB_PUJ1033,724594,,,,,,,0,0,724642
LTFRB_PUJ1915,724594,,,,,,,0,0,724643
LTFRB_PUJ2302,724594,,,,,,,0,0,724644
